,SVL,TailLength,HeadLength,Snout.eye,BodyWidth,Forelimb,Hindlimb,CurveL,FootW,Sinuosity,FootArea,RangeSize
Plethodon_albagula,74.64,63.92,12.32,8.02,8.16,16.12,18.44,11.6427553,3.878,2.995507164,9.8662994,B
Plethodon_amplus,68.46,63.5,11.12,8,7.58,16.44,19.26,23.2198802,6.692,3.485938392,26.4925961,N
Plethodon_angusticlavius,43.36666667,42.9,7.033333333,3.933333333,3.7,8.1,9.433333333,4.8601974,1.71,2.84332994,2.033502,B
Plethodon_aureolus,55.17142857,58.37142857,9.2,5.8,5.314285714,12.52857143,15.32857143,12.77889,3.687,3.472292828,6.0531035,N
Plethodon_caddoensis,46.42909091,50.27272727,12.79090909,4.943636364,5.339090909,11.56818182,12.89090909,9.5535935,2.824,3.387456514,4.7129664,N
Plethodon_chattahoochee,61.75714286,57.47142857,10.37142857,6.757142857,6.4,13.67142857,16.62857143,15.0225483,4.452,3.39179342,8.4754452,B
Plethodon_cheoah,58.88,62.1,9.24,6.22,6,13.26,16.34,13.1583344,3.583,3.678059506,6.4455422,N
Plethodon_chlorobryonis,49.23333333,61.43333333,10.36666667,5.866666667,5.933333333,12.2,14.9,14.3136304,4.182,3.428410619,9.183176,B
Plethodon_cinereus,45.28,42.77,7.07,3.87,3.57,6.63,8.1,5.4649859,1.777,3.083593104,2.1530024,B
Plethodon_cylindraceus,78.12,81.21,13.15,8.01,8.02,16.65,20.03,24.0029687,6.889,3.495626324,27.7211747,B
Plethodon_dorsalis,40.93333333,30.93333333,6.7,3.766666667,3.316666667,7.333333333,8.9,7.1419163,2.224,3.215826478,2.9964817,B
Plethodon_electromorphus,50.975,50.275,6.55,4.2125,4.175,6.625,8.525,5.6985105,1.996,2.857541173,2.8289186,B
Plethodon_fourchensis,65.425,67.75,10.7375,7.0875,6.6875,14.5875,16.7875,11.3250784,3.854,2.94394292,8.9990102,N
Plethodon_glutinosus,73.51,78.42,12.86,7.68,7.71,16.2,18.91,15.75203892,4.553333333,3.475499072,10.40522242,B
Plethodon_grobmani,60.2,57.46666667,11.11111111,6.566666667,6.211111111,13.05555556,16.15555556,12.09016738,3.60625,3.36770538,6.055073625,B
Plethodon_hoffmani,49.62,50.68,7.58,4.18,3.66,7.58,9.61,6.970432,2.313333333,3.019804549,3.031640125,B
Plethodon_hubrichti,53.83,59.7,8.2,4.81,4.16,9.38,11.6,8.421354125,2.55,3.307747985,3.500059583,N
Plethodon_jordani,70.4,72.74,10.8,7.66,7.66,16.16,19,13.3695815,3.679,3.637764874,5.4565863,B
Plethodon_kentucki,63.31666667,67.68333333,11.7,6.966666667,5.95,14.9,17.9,15.3163972,5.099,3.010953403,11.3511104,B
Plethodon_kiamichi,66.7625,64.675,11.25,7.2,7.2,14.375,16.7625,12.9003013,4.03,3.212934622,9.0527565,B
Plethodon_kisatchie,55,51.05,9.3,5.85,6.05,11.475,13.575,10.3604918,2.984,3.503493447,5.6935946,B
Plethodon_meridianus,73.92,83.56,11.68,8.02,8.36,17.28,19.38,15.5032781,4.494,3.452306556,7.9826985,N
Plethodon_metcalfi,70.22,70,12.62,7.82,7.58,16.06,19.74,14.2996939,4.148,3.451082819,6.9831366,B
Plethodon_mississippi,67.52,65.7,11.59,6.85,6.68,13.6,16.53,13.18196637,4.161578947,3.172420271,7.493161421,B
Plethodon_montanus,58.1,53.44,9.16,6.44,6.02,13.66,15.84,14.3468967,4.036,3.555918595,5.6203171,B
Plethodon_nettingi,45.05,44.26,7.41,4.33,3.42,8.36,10.33,7.740439238,2.317142857,3.360696718,2.867733286,B
Plethodon_ocmulgee,66.36666667,62.55,10.28333333,6.633333333,7.066666667,13.83333333,16.18333333,12.5879108,3.677,3.430601883,6.7772485,B
Plethodon_ouachitae,57.3,55.1,11.4,6.9,5.45,13.3,16.05,12.5621002,4.129,3.047029487,6.8728228,B
Plethodon_petraeus,70,73,12.375,8.45,7.8625,18.1875,20.9375,19.4496581,6.074,3.214254446,16.8122606,N
Plethodon_punctatus,64.09090909,71.79090909,11.45454545,6.809090909,5.990909091,14.69090909,17.50909091,12.77964257,4.045,3.174184313,8.279010143,B
Plethodon_richmondi,52.46,51.55,7.18,4.08,3.72,6.5,8.17,6.176894091,1.984545455,3.080352892,2.765866636,B
Plethodon_savannah,62.55,51.9625,10.6875,6.75,7.125,13.2375,15.0625,13.4501366,4.018,3.350603736,7.8561992,B
Plethodon_sequoyah,66.35,63.9625,11.55,7.3,7.825,13.6625,16.6125,13.62426267,4.223333333,3.232816952,8.398222444,N
Plethodon_serratus,40.43333333,29.33333333,6.7,3.866666667,3.333333333,6.733333333,7.933333333,5.666458222,1.734444444,3.268735743,1.991163333,B
Plethodon_shenandoah,46.9,42.7,7.8,4.48,3.92,9,11.1,7.770493714,2.204285714,3.530780828,2.864246714,N
Plethodon_sherando,45.214,47.172,11.183,4.379,4.584,10.042,10.888,7.7721724,2.302,3.384169349,3.2528639,N
Plethodon_shermani,59.56,61.96,9.4,6.3,7.1,13.24,14.82,13.45648045,3.994545455,3.376888386,6.872760091,N
Plethodon_teyahalee,77.675,63,12.5,7.775,7.025,16.4,20.875,15.7811112,4.565,3.466723935,8.273538,B
Plethodon_variolatus,58.65714286,57.35714286,9.557142857,6.257142857,6.414285714,11.84285714,14.37142857,11.9854748,3.56,3.372745081,5.7615961,B
Plethodon_ventralis,42,35.92,6.51,3.96,3.27,7.19,8.76,5.842365125,1.83125,3.223258656,2.015979938,B
Plethodon_virginia,53.05714286,58.65714286,7.085714286,4.442857143,4.514285714,8.614285714,10.37142857,8.0228878,2.674,3.003729299,3.6023556,B
Plethodon_websteri,38.7375,34.5625,5.5875,3.5625,3.475,7.0125,8.65,6.2270296,1.772,3.518255512,2.43581,B
Plethodon_wehrlei,57.47,55.91,9.68,5.84,4.98,12.19,14.69,12.9142369,4.254,3.041049795,7.1017189,B
Plethodon_welleri,42.7,32.44,7.36,4.1,3.78,7.77,9.74,7.0679665,2.150833333,3.273374309,2.646486667,B
Plethodon_yonahlossee,81.2,81.02142857,14.57857143,9.078571429,8.442857143,20.06428571,24.07857143,18.65583182,5.573636364,3.337566683,12.43017891,B
