state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
100	0.019	0.019	0.019	0	0	0.000	0.163	4.166	-4.94	-1135.36	0.00	0.00
200	0.020	0.020	0.020	0	0	0.000	0.050	4.192	3.15	-1135.36	0.00	-6.77
300	0.015	0.015	0.015	0	1	1.416	0.019	3.899	9.46	-1136.40	-0.00	0.00
400	0.018	0.018	0.018	0	1	1.875	0.014	3.899	9.05	-1136.41	0.00	0.00
500	0.016	0.016	0.016	0	2	1.032	0.021	4.197	12.15	-1137.10	0.00	-6.98
600	0.016	0.016	0.016	0	1	0.944	0.021	4.197	7.95	-1136.40	0.00	-6.98
700	0.015	0.015	0.015	0	2	0.229	0.016	3.811	9.71	-1137.09	0.69	0.00
800	0.013	0.013	0.013	0	1	0.242	0.016	3.981	8.13	-1136.40	0.69	0.00
900	0.025	0.025	0.025	0	0	0.000	0.014	4.274	1.49	-1135.36	0.00	-6.55
1000	0.017	0.017	0.017	0	1	0.263	0.015	4.106	3.81	-1136.40	-0.69	0.00
1100	0.017	0.017	0.017	0	1	0.963	0.054	4.106	7.37	-1136.40	1.04	0.00
1200	0.015	0.015	0.015	0	3	0.139	0.054	4.106	11.86	-1137.50	-0.00	0.00
1300	0.015	0.015	0.015	0	2	0.323	0.040	4.106	13.65	-1137.10	0.69	0.00
1400	0.011	0.011	0.011	0	3	0.447	0.040	4.102	12.35	-1137.50	0.00	-7.37
1500	0.014	0.014	0.014	0	2	0.520	0.026	4.102	14.61	-1137.10	0.00	0.00
1600	0.019	0.019	0.019	0	3	0.156	0.017	4.102	11.98	-1137.50	0.00	-6.84
1700	0.017	0.017	0.017	0	4	0.427	0.019	4.229	11.32	-1137.79	0.00	-0.27
1800	0.012	0.012	0.012	0	2	1.102	0.024	4.229	15.70	-1137.10	0.00	0.00
1900	0.017	0.017	0.017	0	3	2.013	0.047	4.229	12.26	-1137.51	0.00	0.00
2000	0.012	0.012	0.012	0	1	3.053	0.020	4.229	9.58	-1136.41	-0.00	0.32
2100	0.017	0.017	0.017	0	1	3.806	0.023	4.229	9.87	-1136.41	-0.00	0.16
2200	0.015	0.015	0.015	0	2	5.626	0.024	3.840	13.34	-1137.11	0.70	0.00
2300	0.012	0.012	0.012	0	2	8.854	0.035	3.840	15.90	-1137.12	0.00	-7.28
2400	0.011	0.011	0.011	0	3	4.739	0.022	4.009	15.97	-1137.52	-0.29	0.00
2500	0.013	0.013	0.013	0	4	6.542	0.030	4.009	14.97	-1137.82	-0.01	0.19
