state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
500	0.016	2.843	0.016	1	0	0.000	0.021	3.924	10.52	-1135.73	0.01	0.69
1000	0.014	12.783	0.014	1	0	0.000	0.020	4.093	11.63	-1135.74	-0.03	-0.69
1500	0.010	9.749	0.010	1	0	0.000	0.061	4.052	7.20	-1135.73	0.00	-0.47
2000	0.014	9.726	0.014	1	0	0.000	0.012	4.013	12.01	-1135.74	-0.02	-0.69
2500	0.020	11.467	0.020	1	0	0.000	0.011	3.879	8.96	-1135.74	0.00	-6.80
3000	0.015	8.071	0.015	1	0	0.000	0.036	4.028	11.32	-1135.73	0.00	0.00
3500	0.015	36.836	0.015	2	0	0.000	0.028	4.028	11.00	-1136.82	-0.04	0.00
4000	0.019	59.813	0.019	2	0	0.000	0.000	4.138	9.19	-1136.85	-0.12	-0.69
4500	0.016	95.677	0.016	2	0	0.000	0.018	3.899	8.44	-1136.88	-0.05	0.00
5000	0.015	92.518	0.015	1	0	0.000	0.011	4.066	11.01	-1135.82	0.00	0.00
5500	0.016	73.821	0.016	1	0	0.000	0.031	4.102	10.23	-1135.80	0.00	0.00
6000	0.012	58.967	0.012	1	0	0.000	0.018	4.088	8.06	-1135.90	-0.12	-0.69
6500	0.011	44.083	0.011	1	0	0.000	0.006	4.195	8.55	-1135.77	0.00	0.00
7000	0.022	273.694	0.022	1	0	0.000	0.029	4.134	6.54	-1136.00	0.00	0.00
7500	0.020	327.250	0.020	1	0	0.000	0.021	4.070	8.30	-1136.05	0.00	0.12
8000	0.021	500.359	0.021	1	0	0.000	0.015	4.018	7.60	-1136.23	0.00	-6.75
8500	0.020	84.151	0.020	1	0	0.000	0.004	3.963	8.68	-1135.81	-0.05	0.00
9000	0.015	69.652	0.015	1	0	0.000	0.001	3.922	7.84	-1135.93	0.00	-0.45
9500	0.014	123.764	0.014	1	0	0.000	0.000	4.037	10.90	-1135.85	0.00	0.00
10000	0.017	47.889	0.017	1	0	0.000	0.001	4.037	10.80	-1135.77	0.00	0.00
10500	0.015	42.211	0.015	1	0	0.000	0.003	3.958	8.73	-1135.85	0.02	0.00
11000	0.013	48.408	0.013	1	0	0.000	0.003	3.986	10.87	-1135.77	0.00	-0.34
11500	0.018	109.175	0.018	1	0	0.000	0.006	4.010	10.12	-1135.84	-0.22	-0.69
12000	0.014	88.670	0.014	1	0	0.000	0.043	4.154	9.03	-1135.81	-0.01	0.00
12500	0.016	55.306	0.016	1	0	0.000	0.011	4.010	11.08	-1135.78	0.00	0.00
13000	0.013	28.967	0.013	2	0	0.000	0.033	4.010	8.66	-1136.82	0.00	0.00
13500	0.019	39.496	0.019	2	0	0.000	0.010	4.010	6.02	-1136.85	-0.08	0.00
14000	0.013	1.702	0.013	2	0	0.000	0.031	4.010	15.13	-1136.79	-0.00	0.00
14500	0.010	0.496	0.010	2	0	0.000	0.043	4.038	15.94	-1136.79	0.00	-11.60
15000	0.016	0.463	0.016	1	0	0.000	0.019	3.941	12.22	-1135.73	-0.02	0.00
15500	0.019	0.089	0.019	1	0	0.000	0.030	3.941	9.02	-1135.73	-0.08	0.00
16000	0.017	0.422	0.017	1	0	0.000	0.012	4.106	12.62	-1135.73	-0.00	-0.69
16500	0.015	1.978	0.015	1	0	0.000	0.031	4.054	11.60	-1135.73	0.00	-7.14
17000	0.012	1.062	0.012	1	0	0.000	0.045	4.063	10.95	-1135.73	0.00	-0.17
17500	0.025	1.902	0.025	1	0	0.000	0.019	3.933	6.90	-1135.73	0.00	0.00
18000	0.013	2.312	0.013	2	0	0.000	0.028	3.933	12.74	-1136.79	-0.00	-0.69
18500	0.013	0.232	0.013	1	0	0.000	0.021	4.083	13.27	-1135.73	-0.00	-0.69
19000	0.015	0.118	0.015	1	0	0.000	0.052	3.952	10.92	-1135.73	0.00	-7.14
19500	0.014	0.381	0.014	1	0	0.000	0.018	3.952	12.74	-1135.73	0.00	0.69
20000	0.017	0.150	0.017	1	0	0.000	0.039	3.993	9.82	-1135.73	0.00	-6.65
